medicine_name,generic_name,category,sub_category,description,manufacturer,dosage_form,unit,requires_rx
Hydrocortisone Cream,Hydrocortisone,Steroid,Topical Corticosteroid,1% cream for skin inflammation,GSK,cream,g,0
Ciprofloxacin 500mg,Ciprofloxacin,Antibiotic,Fluoroquinolone,Broad-spectrum fluoroquinolone,Cipla,tablet,tablet,1
Doxycycline 100mg,Doxycycline,Antibiotic,Tetracycline,Tetracycline for infections and acne,Sun Pharma,capsule,capsule,1
Metronidazole 400mg,Metronidazole,Antibiotic,Nitroimidazole,Anaerobic infections and protozoal,Cipla,tablet,tablet,1
Clotrimazole Cream,Clotrimazole,Antifungal,Topical,Topical antifungal for skin,Bayer,cream,g,0
Fluconazole 150mg,Fluconazole,Antifungal,Systemic,Single-dose oral antifungal,Cipla,capsule,capsule,1
Salbutamol Inhaler,Salbutamol,Respiratory,Bronchodilator,SABA for acute asthma relief,GSK,inhaler,puff,1
Salbutamol Syrup,Salbutamol,Respiratory,Pediatric Bronchodilator,Oral bronchodilator for children,Abbott,syrup,ml,0
Montelukast 10mg,Montelukast,Respiratory,Leukotriene Modifier,Asthma prophylaxis once daily,MSD,tablet,tablet,1
Montelukast 5mg,Montelukast,Respiratory,Pediatric,Asthma prophylaxis for children 6-14y,MSD,chewable tablet,tablet,1
Budesonide Inhaler,Budesonide,Respiratory,ICS,Inhaled corticosteroid for asthma,AstraZeneca,inhaler,puff,1
Budesonide-Formoterol,Budesonide+Formoterol,Respiratory,ICS+LABA,Combination inhaler for asthma/COPD,AstraZeneca,inhaler,puff,1
Ipratropium Inhaler,Ipratropium,Respiratory,Anticholinergic,Bronchodilator for COPD,Boehringer,inhaler,puff,1
Tramadol 50mg,Tramadol,Painkiller,Opioid Analgesic,Centrally-acting pain reliever,Sun Pharma,capsule,capsule,1
Diclofenac 50mg,Diclofenac,Anti-inflammatory,NSAID,NSAID for arthritis and pain,Novartis,tablet,tablet,1
Diclofenac Gel,Diclofenac,Anti-inflammatory,Topical NSAID,Topical pain gel 1%,Novartis,gel,g,0
Naproxen 250mg,Naproxen,Anti-inflammatory,NSAID,Long-acting NSAID,Cipla,tablet,tablet,0
Calcium Carbonate 500mg,Calcium carbonate,Supplement,Mineral,Calcium supplement for bone health,Sun Pharma,tablet,tablet,0
Calcium + Vitamin D3,Calcium carbonate + Cholecalciferol,Supplement,Mineral+Vitamin,Combined calcium and vitamin D,Abbott,tablet,tablet,0
Vitamin D3 1000IU,Cholecalciferol,Supplement,Vitamin,Vitamin D supplement,Sun Pharma,capsule,capsule,0
Vitamin D3 60000IU,Cholecalciferol,Supplement,Vitamin,Weekly high-dose vitamin D,Cipla,capsule,capsule,0
Vitamin B12 500mcg,Cyanocobalamin,Supplement,Vitamin,B12 for nerve health and anemia,Sun Pharma,tablet,tablet,0
Folic Acid 5mg,Folic acid,Supplement,Vitamin,B9 for pregnancy and anemia,Cipla,tablet,tablet,0
Ferrous Sulfate,Ferrous sulfate,Supplement,Iron,Oral iron for anemia,Sun Pharma,tablet,tablet,0
Ferrous Ascorbate,Ferrous ascorbate,Supplement,Iron,Better-tolerated iron supplement,Abbott,tablet,tablet,0
Zinc Sulfate 20mg,Zinc sulfate,Supplement,Mineral,Zinc for immunity and wound healing,Sun Pharma,tablet,tablet,0
Ondansetron 4mg,Ondansetron,Anti-nausea,5-HT3 Antagonist,Antiemetic for nausea vomiting,Sun Pharma,tablet,tablet,1
Ondansetron 8mg,Ondansetron,Anti-nausea,5-HT3 Antagonist,High-dose antiemetic,Cipla,tablet,tablet,1
Domperidone 10mg,Domperidone,Anti-nausea,Prokinetic,Antiemetic and prokinetic agent,Abbott,tablet,tablet,0
Metoclopramide 10mg,Metoclopramide,Anti-nausea,Prokinetic,Dopamine antagonist for nausea,Sun Pharma,tablet,tablet,1
ORS Sachet,Oral rehydration salts,Hydration,Electrolyte,WHO-approved ORS for dehydration,Sun Pharma,sachet,sachet,0
Loperamide 2mg,Loperamide,Antidiarrheal,Opioid Agonist,Controls acute diarrhea,Johnson & Johnson,capsule,capsule,0
Bisacodyl 5mg,Bisacodyl,Laxative,Stimulant,Stimulant laxative for constipation,Dulcolax,tablet,tablet,0
Lactulose Syrup,Lactulose,Laxative,Osmotic,Osmotic laxative syrup,Abbott,syrup,ml,0
Sertraline 50mg,Sertraline,Antidepressant,SSRI,SSRI for depression and anxiety,Pfizer,tablet,tablet,1
Fluoxetine 20mg,Fluoxetine,Antidepressant,SSRI,SSRI for depression,Eli Lilly,capsule,capsule,1
Escitalopram 10mg,Escitalopram,Antidepressant,SSRI,Selective SSRI with fewer side effects,Lundbeck,tablet,tablet,1
Amitriptyline 25mg,Amitriptyline,Antidepressant,TCA,Tricyclic antidepressant,Sun Pharma,tablet,tablet,1
Alprazolam 0.25mg,Alprazolam,Anxiolytic,Benzodiazepine,Short-acting benzodiazepine for anxiety,Sun Pharma,tablet,tablet,1
Clonazepam 0.5mg,Clonazepam,Anxiolytic,Benzodiazepine,Anticonvulsant and anxiolytic,Roche,tablet,tablet,1
Diazepam 5mg,Diazepam,Anxiolytic,Benzodiazepine,Benzodiazepine for anxiety and seizures,Cipla,tablet,tablet,1
Gabapentin 300mg,Gabapentin,Neuropathic Pain,Anticonvulsant,Nerve pain and anticonvulsant,Sun Pharma,capsule,capsule,1
Pregabalin 75mg,Pregabalin,Neuropathic Pain,Anticonvulsant,Calcium channel modulator for pain,Pfizer,capsule,capsule,1
Phenytoin 100mg,Phenytoin,Anticonvulsant,Sodium Channel Blocker,Epilepsy treatment,Sun Pharma,tablet,tablet,1
Valproic Acid 200mg,Valproate,Anticonvulsant,GABA Enhancer,Mood stabilizer and anticonvulsant,Abbott,tablet,tablet,1
Carbamazepine 200mg,Carbamazepine,Anticonvulsant,Sodium Channel Blocker,Epilepsy and neuropathic pain,Sun Pharma,tablet,tablet,1
Levodopa-Carbidopa,Levodopa+Carbidopa,Parkinson's,Dopamine Precursor,First-line Parkinson's therapy,Abbott,tablet,tablet,1
Donepezil 5mg,Donepezil,Alzheimer's,Cholinesterase Inhibitor,Dementia symptom management,Pfizer,tablet,tablet,1
Sildenafil 50mg,Sildenafil,Urology,PDE5 Inhibitor,Erectile dysfunction treatment,Pfizer,tablet,tablet,1
Tamsulosin 0.4mg,Tamsulosin,Urology,Alpha Blocker,BPH and urinary symptoms,Boehringer,capsule,capsule,1
Finasteride 5mg,Finasteride,Urology,5-ARI,BPH treatment and hair loss,Cipla,tablet,tablet,1
Acyclovir 400mg,Acyclovir,Antiviral,DNA Polymerase Inhibitor,Herpes virus treatment,Sun Pharma,tablet,tablet,1
Oseltamivir 75mg,Oseltamivir,Antiviral,Neuraminidase Inhibitor,Influenza A and B treatment,Roche,capsule,capsule,1
Hydroxychloroquine 200mg,Hydroxychloroquine,Antimalarial,Quinoline,Antimalarial and autoimmune,Sun Pharma,tablet,tablet,1
Artemether-Lumefantrine,Artemether+Lumefantrine,Antimalarial,ACT,First-line malaria treatment,Novartis,tablet,tablet,1
Rifampicin 450mg,Rifampicin,Tuberculosis,Rifamycin,TB core drug,Sun Pharma,capsule,capsule,1
Isoniazid 300mg,Isoniazid,Tuberculosis,Hydrazide,TB core drug,Cipla,tablet,tablet,1
Pyrazinamide 500mg,Pyrazinamide,Tuberculosis,Nicotinamide Analogue,TB first-line drug,Sun Pharma,tablet,tablet,1
Ethambutol 400mg,Ethambutol,Tuberculosis,Arabinosyl Transferase Inhibitor,TB combination drug,Cipla,tablet,tablet,1
Bromhexine 8mg,Bromhexine,Cough,Mucolytic,Mucolytic for productive cough,Boehringer,tablet,tablet,0
Ambroxol 30mg,Ambroxol,Cough,Mucolytic,Mucolytic expectorant,Boehringer,tablet,tablet,0
Dextromethorphan Syrup,Dextromethorphan,Cough,Antitussive,Cough suppressant,Abbott,syrup,ml,0
Guaifenesin Syrup,Guaifenesin,Cough,Expectorant,Expectorant to thin mucus,Cipla,syrup,ml,0
Chlorpheniramine 4mg,Chlorpheniramine,Antihistamine,1st Generation,First-gen antihistamine sedating,Sun Pharma,tablet,tablet,0
Diphenhydramine 25mg,Diphenhydramine,Antihistamine,1st Generation,Antihistamine and sleep aid,Pfizer,capsule,capsule,0
Povidone Iodine,Povidone iodine,Antiseptic,Topical,Topical antiseptic wound care,Win-Medicare,solution,ml,0
Betamethasone Cream,Betamethasone,Steroid,Topical Corticosteroid,Potent topical corticosteroid,GSK,cream,g,1
Mupirocin Ointment,Mupirocin,Antibiotic,Topical,Topical antibiotic for skin infections,GSK,ointment,g,1
Clindamycin 300mg,Clindamycin,Antibiotic,Lincosamide,Antibiotic for anaerobic infections,Sun Pharma,capsule,capsule,1
Pantoprazole + Domperidone,Pantoprazole+Domperidone,Antacid,Combination,PPI + prokinetic combination,Sun Pharma,capsule,capsule,1
